key	value
services_markt_face	服务市场账号
work_work_order_list_account_reset	账户清零
work_work_order_list_business_account_adjustment	商业号调整
work_work_order_list_recharge_orders	充值工单
work_work_order_list_all	全部
work_work_order_list_pending	待处理
work_work_order_list_pending_platform_confirmation	待平台确认
work_work_order_list_the_platform_is_not_accessible	平台不通过
work_work_order_list_already_closed	已关闭
work_work_order_list_ticket_number	工单编号
work_work_order_list_account_name	账号名称
work_work_order_list_account_i_d	账号ID
work_work_order_list_platform	所属平台
work_work_order_list_account_type	帐户类型
work_work_order_list_business_number	商业号
work_work_order_list_account_balance	账号余额
work_work_order_list_amount_to_reset	清零金额
work_work_order_list_ticket_attachments	工单附件
work_work_order_list_status	状态
work_work_order_list_reason_for_rejection	不通过原因
work_work_order_list_creation_time	创建时间
work_work_order_list_completion_time	完成时间
work_work_order_list_operation	操作
work_work_order_list_adjust_type	调整类型
work_work_order_list_change_binding	换绑
work_work_order_list_unbind	解绑
work_work_order_list_original_business_number	原商业号
work_work_order_list_target_business_account	目标商业号
work_work_order_list_ticket_attachments	工单附件
work_work_order_list_recharge_order_number	充值订单编号
work_work_order_list_recharge_amount	充值金额
work_work_order_list_description	描述
api_money_shouxin_required	金额不能为空
api_money_shouxin_min	金额最不能小于0
api_money_shouxin_max	金额数量不能超过1000000
api_money_shouxin_the_credit_amount_cannot_be_lower_than_the_credit_amount_already_used	授信金额不能低于已经使用的授信金额
api_model_no_results	没有找到数据
api_sql_error	处理失败
api_network_exception	网络异常
api_system_error	系统错误
api_title_required	名称不能为空
api_type_required	币种不能为空
api_account_required	钱包地址不能为空
api_email_code_required	邮箱验证码不能为空
api_email_verification_failed	验证邮箱失败
api_action_fail	操作失败
api_the_name_is_too_long	名称太长了
api_email_not_bound	邮箱没有绑定
api_frequent_requests_please_try_again_later	请求频繁，请稍后再试
api_email_cannot_be_empty	邮箱不能为空
api_email_format_incorrect	邮箱格式不正确
api_email_length_cannot_exceed255_characters	邮箱长度不能超过255个字符
api_email_verification_code_cannot_be_empty	邮箱验证码不能为空
api_type_cannot_be_empty	类型不能为空
api_email_format_incorrect	邮箱格式不正确
api_email_length_cannot_exceed255_characters	邮箱长度不能超过255个字符
api_the_area_code_cannot_be_empty	区号不能为空
api_the_phone_number_cannot_be_empty	手机号不能为空
api_the_format_of_the_phone_number_is_incorrect	手机号格式不对
api_the_format_of_the_phone_number_is_incorrect	手机号格式不对
api_email_verification_code_cannot_be_empty	邮箱验证码不能为空
api_the_length_of_the_old_password_cannot_be_less_than6_digits	旧密码长度不能小于6位
api_the_length_of_the_old_password_cannot_exceed255_characters	旧密码长度不能超过255个字符
api_password_length_cannot_be_less_than6_digits	密码长度不能小于6位
api_password_length_cannot_exceed20_digits	密码长度不能大于20位
api_confirm_password_cannot_be_empty	确认密码不能为空
api_entered_passwords_differ	两次输入的密码不一致
api_password_cannot_be_empty	 密码不能为空
api_password_length_cannot_be_less_than6_digits	密码长度不能小于6位
api_password_length_cannot_exceed20_characters	密码长度不能超过20个字符
api_confirm_password_cannot_be_empty	确认密码不能为空
api_entered_passwords_differ	两次输入的密码不一致
api_the_password_has_already_been_set	密码已经设置过了
api_the_email_has_already_been_registered	邮箱已经注册过了
api_email_not_registered_please_register_first	邮箱未注册，请先进行注册
api_the_account_has_been_disabled	帐户被禁用了
api_login_failed_please_try_again_in2_hours	登录失败, 请2小时后重试
api_password_error	密码错误
api_email_verification_failed	验证邮箱失败
api_failed_to_verify_the_original_email_address	验证原邮箱失败
api_the_email_address_is_the_same	邮箱相同了
api_the_phone_number_has_already_been_bound	手机号已经绑定过了
api_original_password_incorrect	原密码错误
api_already_associated_with_other_accounts	已经关联其他账户了
api_the_google_account_has_already_been_used	google账户已经被使用过了
api_clearing_zero	账户清零
api_business_change	商业号调整
api_recharge	充值工单
work_work_order_list_status_unknown	未知状态
work_work_order_list_bind	绑定
work_work_order_list_change_binding	换绑
work_work_order_operate	操作
work_work_order_view_handle	处理
work_work_order_view_view	查看
work_work_order_unable_to_process	无法处理
work_work_order_sure	确定
work_work_order_cancel	取消
work_work_order_please_enter_the_content	请输入内容
work_work_order_the_content_cannot_be_empty	内容不能为空
work_work_order_operation_successful	操作成功
finance_fund_my_funds	我的资金
finance_fund_advance_payment_balance	预收余额
